id_produto,nome_produto,categoria,preco,ativo,descricao
1,Notebook Lenovo IdeaPad 3 15,Informática,5963.42,True,"Notebook Lenovo IdeaPad 3 15 | Categoria: Informática | Cor: prata | Material: alumínio | Voltagem: 220V | Peso: 33.38 kg | Dimensões: 149x32x80 cm | Capacidade: 16GB RAM | Potência: 65W | Conectividade: Wi-Fi | Recursos: assistência técnica nacional, acabamento premium, baixo ruído | Garantia: 24 meses | Origem: México | Indicações de uso: viagem | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: informática, prata, alumínio, 220V, 16GB RAM, 65W, Wi-Fi, eficiência, durável, custo-benefício | Nulla culpa in consectetur ullam deleniti ratione quibusdam voluptate quas."
2,Cabo USB-C Anker 1.8m,Telefonia,4149.50,True,"Cabo USB-C Anker 1.8m | Categoria: Telefonia | Cor: preto | Material: ABS | Voltagem: 220V | Peso: 19.13 kg | Dimensões: 81x49x32 cm | Capacidade: 5000mAh | Potência: — | Conectividade: Wi-Fi | Recursos: eficiência energética A, proteção contra sobrecarga, acabamento premium, design ergonômico, garantia 12 meses | Garantia: 6 meses | Origem: Vietnã | Indicações de uso: viagem | Compatível com: tomada padrão | Palavras-chave: telefonia, preto, ABS, 220V, 5000mAh, —, Wi-Fi, eficiência, durável, custo-benefício | Nam recusandae ducimus accusamus iste voluptatum deserunt reprehenderit."
3,Escrivaninha 120x60cm MDP,Móveis,2261.92,True,"Escrivaninha 120x60cm MDP | Categoria: Móveis | Cor: dourado | Material: MDF BP | Voltagem: 220V | Peso: 8.81 kg | Dimensões: 27x21x34 cm | Capacidade: 200kg suportados | Potência: — | Conectividade: Bluetooth 5.3 | Recursos: fácil instalação, design ergonômico | Garantia: 12 meses | Origem: China | Indicações de uso: profissional | Compatível com: USB-C PD | Palavras-chave: móveis, dourado, MDF BP, 220V, 200kg suportados, —, Bluetooth 5.3, eficiência, durável, custo-benefício | Modi nihil laborum sapiente unde deleniti nobis laboriosam dolores et placeat temporibus."
4,Máquina de Lavar Consul 11kg,Eletrodomésticos,4070.52,True,"Máquina de Lavar Consul 11kg | Categoria: Eletrodomésticos | Cor: branco | Material: cerâmica | Voltagem: 220V | Peso: 7.87 kg | Dimensões: 196x72x25 cm | Capacidade: 4L | Potência: 1377W | Conectividade: NFC, DisplayPort | Recursos: proteção contra sobrecarga, baixo ruído, assistência técnica nacional | Garantia: 6 meses | Origem: China | Indicações de uso: estúdio | Compatível com: USB-C PD | Palavras-chave: eletrodomésticos, branco, cerâmica, 220V, 4L, 1377W, NFC, DisplayPort, eficiência, durável, custo-benefício | Expedita assumenda occaecati doloribus facilis sunt dicta rem aut animi mollitia consequuntur."
5,"Monitor LG 27"" IPS 144Hz",Informática,7315.51,True,"Monitor LG 27"" IPS 144Hz | Categoria: Informática | Cor: vermelho | Material: policarbonato | Voltagem: 220V | Peso: 22.57 kg | Dimensões: 174x127x23 cm | Capacidade: 1TB | Potência: 90W | Conectividade: NFC | Recursos: controle por app, fácil instalação, acabamento premium, garantia 12 meses | Garantia: 6 meses | Origem: México | Indicações de uso: viagem | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: informática, vermelho, policarbonato, 220V, 1TB, 90W, NFC, eficiência, durável, custo-benefício | Adipisci nobis exercitationem molestiae adipisci facere."
6,Notebook Lenovo IdeaPad 3 15,Informática,6905.49,True,"Notebook Lenovo IdeaPad 3 15 | Categoria: Informática | Cor: prata | Material: vidro temperado | Voltagem: 220V | Peso: 3.05 kg | Dimensões: 107x162x64 cm | Capacidade: 32GB RAM | Potência: 120W | Conectividade: Wi-Fi, NFC, USB-C | Recursos: eficiência energética A, design ergonômico, fácil instalação, controle por app | Garantia: 12 meses | Origem: Brasil | Indicações de uso: escritório | Compatível com: padrão ABNT | Palavras-chave: informática, prata, vidro temperado, 220V, 32GB RAM, 120W, Wi-Fi, NFC, USB-C, eficiência, durável, custo-benefício | Vitae doloribus magnam pariatur consequuntur cupiditate expedita sit doloribus maiores atque facere."
7,Prancha Babyliss Pro Nano Titanium,Beleza,1052.39,True,"Prancha Babyliss Pro Nano Titanium | Categoria: Beleza | Cor: cinza-escuro | Material: cerâmica | Voltagem: bivolt | Peso: 7.05 kg | Dimensões: 51x148x72 cm | Capacidade: 200°C | Potência: 1926W | Conectividade: HDMI, Wi-Fi | Recursos: proteção contra sobrecarga, design ergonômico | Garantia: 6 meses | Origem: Brasil | Indicações de uso: profissional | Compatível com: tomada padrão | Palavras-chave: beleza, cinza-escuro, cerâmica, bivolt, 200°C, 1926W, HDMI, Wi-Fi, eficiência, durável, custo-benefício | Eaque delectus velit vitae corrupti accusamus voluptatibus dolor cumque deserunt libero suscipit."
8,Memória RAM Corsair Vengeance 16GB 3200MHz,Informática,6550.26,False,"Memória RAM Corsair Vengeance 16GB 3200MHz | Categoria: Informática | Cor: cinza-escuro | Material: ABS | Voltagem: bivolt | Peso: 29.76 kg | Dimensões: 150x52x38 cm | Capacidade: 32GB RAM | Potência: — | Conectividade: DisplayPort | Recursos: design ergonômico, fácil instalação, proteção contra sobrecarga | Garantia: 12 meses | Origem: Vietnã | Indicações de uso: doméstico | Compatível com: padrão ABNT | Palavras-chave: informática, cinza-escuro, ABS, bivolt, 32GB RAM, —, DisplayPort, eficiência, durável, custo-benefício | Doloremque accusamus dicta voluptate omnis doloribus nemo officiis consequatur ratione assumenda."
9,Samsung Galaxy A54 5G 256GB,Telefonia,2406.31,True,"Samsung Galaxy A54 5G 256GB | Categoria: Telefonia | Cor: grafite | Material: cerâmica | Voltagem: bivolt | Peso: 0.52 kg | Dimensões: 191x171x12 cm | Capacidade: 256GB | Potência: — | Conectividade: Wi-Fi | Recursos: eficiência energética A, acabamento premium, assistência técnica nacional, garantia 12 meses | Garantia: 24 meses | Origem: Vietnã | Indicações de uso: profissional | Compatível com: padrão ABNT | Palavras-chave: telefonia, grafite, cerâmica, bivolt, 256GB, —, Wi-Fi, eficiência, durável, custo-benefício | Maiores amet fuga porro sapiente dignissimos aliquid culpa laudantium sit sunt laudantium soluta."
10,Modelador de Cachos Taiff,Beleza,598.84,True,"Modelador de Cachos Taiff | Categoria: Beleza | Cor: verde-oliva | Material: policarbonato | Voltagem: bivolt | Peso: 4.54 kg | Dimensões: 120x100x59 cm | Capacidade: — | Potência: 1656W | Conectividade: Wi-Fi, NFC, DisplayPort | Recursos: proteção contra sobrecarga, eficiência energética A, assistência técnica nacional, acabamento premium, fácil instalação | Garantia: 24 meses | Origem: Vietnã | Indicações de uso: profissional | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: beleza, verde-oliva, policarbonato, bivolt, —, 1656W, Wi-Fi, NFC, DisplayPort, eficiência, durável, custo-benefício | Accusantium quisquam atque tempora itaque voluptatibus dolore nam ullam commodi et veritatis architecto earum."
11,Realme C55 256GB,Telefonia,3270.64,False,"Realme C55 256GB | Categoria: Telefonia | Cor: branco | Material: tecido suede | Voltagem: 220V | Peso: 4.59 kg | Dimensões: 176x148x6 cm | Capacidade: 128GB | Potência: — | Conectividade: Bluetooth 5.3 | Recursos: resistente a riscos, controle por app, assistência técnica nacional, fácil instalação, acabamento premium | Garantia: 6 meses | Origem: México | Indicações de uso: estúdio | Compatível com: tomada padrão | Palavras-chave: telefonia, branco, tecido suede, 220V, 128GB, —, Bluetooth 5.3, eficiência, durável, custo-benefício | Accusamus consectetur soluta quae officiis repudiandae harum veritatis explicabo rem sed."
