id_venda,id_cliente,id_produto,data_venda,quantidade,valor_unitario,valor_total,canal_venda
1,29,5,2025-07-28 13:15:14,4,7952.07,31808.28,loja física
2,88,91,2025-04-01 02:32:06,5,3057.66,15288.3,marketplace
3,21,9,2025-11-20 05:09:04,1,6513.75,6513.75,loja física
4,68,108,2024-12-05 08:37:52,3,1251.95,3755.85,loja física
5,4,120,2025-02-16 14:17:35,3,4919.87,14759.61,online
6,41,16,2025-08-05 10:45:17,1,4229.57,4229.57,marketplace
7,56,187,2025-11-04 09:52:45,1,7603.15,7603.15,marketplace
8,86,73,2024-12-21 09:09:02,2,7575.29,15150.58,marketplace
9,13,91,2025-04-08 08:17:26,5,3057.66,15288.3,online
10,86,25,2025-04-26 12:58:48,3,6697.46,20092.38,online
11,38,188,2025-07-15 13:23:11,5,4322.47,21612.35,loja física
12,34,76,2025-06-16 21:35:26,5,6203.79,31018.95,marketplace
13,2,105,2025-09-02 13:22:22,4,3759.35,15037.4,marketplace
14,11,133,2025-05-19 00:31:19,3,6315.58,18946.74,marketplace
15,38,176,2025-05-09 22:33:16,2,5408.01,10816.02,online
16,14,30,2025-03-07 19:48:43,4,3653.33,14613.32,online
17,48,100,2025-01-25 02:41:24,4,6067.84,24271.36,marketplace
18,37,30,2025-11-16 08:44:14,4,3653.33,14613.32,online
19,25,22,2025-02-20 19:48:20,3,5745.02,17235.06,marketplace
20,10,165,2025-10-17 17:22:55,4,3815.09,15260.36,loja física
21,92,20,2024-11-26 07:16:46,4,552.26,2209.04,loja física
22,4,183,2025-10-25 12:30:45,2,5982.54,11965.08,loja física
23,60,16,2024-12-10 07:16:43,4,4229.57,16918.28,marketplace
24,94,186,2025-06-23 21:04:55,4,3951.9,15807.6,online
25,39,187,2025-05-05 12:25:02,5,7603.15,38015.75,online
26,97,142,2025-02-28 04:31:13,1,5648.87,5648.87,marketplace
27,91,127,2025-02-28 06:47:25,2,5560.18,11120.36,online
28,26,185,2025-08-22 15:08:22,1,3609.57,3609.57,online
29,52,177,2025-04-30 12:18:23,1,7307.24,7307.24,online
30,1,181,2025-09-11 20:17:26,2,2861.26,5722.52,marketplace
31,3,188,2025-02-25 03:40:27,5,4322.47,21612.35,online
32,45,88,2025-01-04 19:12:32,1,5192.61,5192.61,loja física
33,41,139,2025-08-02 06:29:14,4,6720.34,26881.36,marketplace
34,14,9,2024-12-04 14:51:26,2,6513.75,13027.5,online
35,73,176,2025-01-13 11:53:25,1,5408.01,5408.01,marketplace
36,50,166,2025-06-13 14:47:13,4,2137.67,8550.68,marketplace
37,60,179,2025-10-13 02:53:51,1,2460.12,2460.12,online
38,4,79,2025-06-20 00:01:29,3,2263.23,6789.69,loja física
39,10,8,2025-03-03 16:09:53,5,6008.6,30043.0,marketplace
40,94,17,2024-12-06 10:04:13,2,5744.42,11488.84,loja física
41,28,20,2025-11-05 18:34:34,1,552.26,552.26,loja física
42,33,199,2024-12-04 05:19:27,3,5740.23,17220.69,marketplace
43,90,97,2024-12-25 07:16:44,3,7149.13,21447.39,marketplace
44,95,39,2025-04-12 11:16:07,3,5398.29,16194.87,loja física
45,55,28,2024-12-08 16:57:21,3,6428.0,19284.0,marketplace
46,19,175,2025-06-17 00:50:02,4,3321.56,13286.24,online
47,90,17,2025-10-02 04:36:08,2,5744.42,11488.84,marketplace
48,98,12,2025-04-04 19:40:30,4,4547.24,18188.96,marketplace
49,59,40,2024-12-19 11:40:11,2,198.18,396.36,loja física
